ID,Title,Company,Location,Salary,Match,Status,URL
54,"Senior Software Engineer","Unknown","Remote","Not specified",55,new,"https://remoteOK.com/remote-jobs/remote-senior-software-engineer-stellar-ai-1128869"
59,"Frontend Engineer","Unknown","Remote","Not specified",55,new,"https://remoteOK.com/remote-jobs/remote-frontend-engineer-amondo-1128804"
55,"Mid level Full Stack Engineer HRPS PK","Unknown","Remote","Not specified",40,new,"https://remoteOK.com/remote-jobs/remote-mid-level-full-stack-engineer-hrps-pk-smart-working-solutions-1128858"
56,"Enterprise Account Executive NA West","Unknown","Remote","Not specified",40,new,"https://remoteOK.com/remote-jobs/remote-enterprise-account-executive-na-west-akuity-1128816"
58,"Backend Engineer","Unknown","Remote","Not specified",40,new,"https://remoteOK.com/remote-jobs/remote-backend-engineer-amondo-1128805"
61,"DevOps Engineer","DataFlow Inc","Remote (Africa)","$45,000 - $65,000",33.333333333333336,new,"https://example.com/jobs/mock-1"
60,"Senior Full Stack Developer .Net and Angular","Unknown","Remote","Not specified",30,new,"https://remoteOK.com/remote-jobs/remote-senior-full-stack-developer-net-and-angular-ubiminds-1128797"
52,"Python Engineer","TechBiz Global GmbH","Remote","Not specified",30,new,"https://remotive.com/remote-jobs/software-dev/python-engineer-2074124"
53,"Software Engineer","Unknown","Remote","Not specified",25,new,"https://remoteOK.com/remote-jobs/remote-software-engineer-jump-1128885"
57,"Exploit Developer","Unknown","Remote","Not specified",25,new,"https://remoteOK.com/remote-jobs/remote-exploit-developer-vulncheck-1128813"
51,"Systems Analyst","Dev.Pro","Remote","Not specified",25,new,"https://remotive.com/remote-jobs/software-dev/systems-analyst-2074126"
